Protein.Group	Protein.Names	Genes	First.Protein.Description	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_001_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_002_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_003_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_004_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_005_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_006_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_007_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_008_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_009_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_010_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_011_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_012_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_013_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_014_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_015_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_016_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_017_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_018_02_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_019_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_020_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_021_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_022_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_023_01_4pto.raw	Y:\data\orbitrap_astral1\Raw\2502\ELMO\2024MK017_ELMO_024_001_4pto.raw
O60306	AQR_HUMAN	AQR	RNA helicase aquarius	1.08145e+07	1.17009e+07	1.18147e+07	1.10082e+07	1.11401e+07	1.08612e+07	1.14706e+07	1.07971e+07	1.16512e+07	1.14247e+07	1.15469e+07	1.10906e+07	1.41276e+07	1.11678e+07	1.19555e+07	1.17013e+07	1.13272e+07	1.20823e+07	1.2139e+07	1.18848e+07	1.186e+07	9.84154e+06	1.16315e+07	1.18824e+07
O60307	MAST3_HUMAN	MAST3	Microtubule-associated serine/threonine-protein kinase 3	49169		78048.7	38273.1			35270.7	47664.7	63073.2	80322.1	67070.6	47119.3	82055.8	41843.9	40497.6	82996.3	60038	53771.7	68029.8	72691.6	52768.5	80760		83374.4
O60308	CE104_HUMAN	CEP104	Centrosomal protein of 104 kDa	294513	207222	230630	172423	210839	257336	228544	212007	174621	201317	185247	155108	238323	139593	145674	176323	165360	183722	160716	298786	148777	162769	189144	189529
O60313	OPA1_HUMAN	OPA1	Dynamin-like 120 kDa protein, mitochondrial	1.35706e+08	1.33162e+08	1.19233e+08	1.38205e+08	1.32785e+08	1.25005e+08	1.25175e+08	1.27899e+08	1.25277e+08	1.33929e+08	1.26928e+08	1.28638e+08	1.23091e+08	1.17571e+08	1.07719e+08	1.0968e+08	1.18302e+08	1.07021e+08	1.10746e+08	1.09425e+08	1.06522e+08	1.27141e+08	1.083e+08	9.76285e+07
O60318	GANP_HUMAN	MCM3AP	Germinal-center associated nuclear protein	2.9129e+06	2.63238e+06	2.98366e+06	2.73057e+06	2.60963e+06	2.52964e+06	2.91044e+06	2.78408e+06	2.97551e+06	2.7032e+06	2.75915e+06	2.50556e+06	3.49396e+06	2.80636e+06	2.75926e+06	2.83804e+06	2.80161e+06	2.70322e+06	2.72542e+06	2.87865e+06	2.62498e+06	2.31333e+06	2.55938e+06	2.6092e+06
O60331	PI51C_HUMAN	PIP5K1C	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	3.43136e+06	3.4702e+06	3.64587e+06	3.10706e+06	3.0135e+06	3.19716e+06	3.24835e+06	3.56555e+06	3.31149e+06	3.30848e+06	2.71288e+06	3.13642e+06	3.12544e+06	2.5505e+06	2.15658e+06	2.88005e+06	2.7077e+06	3.42487e+06	2.49084e+06	2.43879e+06	2.29351e+06	2.22632e+06	2.66278e+06	3.04433e+06
O60333	KIF1B_HUMAN	KIF1B	Kinesin-like protein KIF1B	5.14896e+06	5.43131e+06	5.66807e+06	5.24202e+06	5.26936e+06	5.02063e+06	5.45898e+06	5.80454e+06	5.58143e+06	5.81694e+06	5.55088e+06	5.78051e+06	6.01288e+06	5.38053e+06	5.50139e+06	5.74083e+06	5.63462e+06	6.13132e+06	6.36412e+06	6.4866e+06	5.67939e+06	4.96809e+06	5.68032e+06	6.17632e+06
O60336	MABP1_HUMAN	MAPKBP1	Mitogen-activated protein kinase-binding protein 1	1.27122e+06	1.23182e+06	1.47373e+06	1.4802e+06	1.36177e+06	1.34781e+06	1.4735e+06	1.40079e+06	1.18937e+06	1.32879e+06	1.38006e+06	1.38409e+06	1.62236e+06	1.18053e+06	1.44896e+06	1.3956e+06	1.43331e+06	1.28045e+06	1.40894e+06	1.39624e+06	1.34419e+06	1.07759e+06	1.45036e+06	1.46973e+06
O60337	MARH6_HUMAN	MARCHF6	E3 ubiquitin-protein ligase MARCHF6	887976	720021	1.05102e+06	1.01213e+06	661329	781176	961984	755522	1.09911e+06	915305	943808	1.01192e+06	1.04883e+06	932653	1.00723e+06	845125	975491	982591	905022	923587	894195	596082	834902	822163
O60341	KDM1A_HUMAN	KDM1A	Lysine-specific histone demethylase 1A	1.09494e+07	1.10826e+07	1.21255e+07	1.09982e+07	1.08568e+07	1.0736e+07	1.17525e+07	1.08602e+07	1.27921e+07	1.08062e+07	1.1505e+07	1.0535e+07	1.55655e+07	1.21897e+07	1.36526e+07	1.18614e+07	1.30916e+07	1.3545e+07	1.29496e+07	1.14433e+07	1.40771e+07	1.08302e+07	1.26984e+07	1.27624e+07
